Objeto;circunferencia;diametro
tampa de garrafa; 11; 2.5
Carregador sem fio Samsung; 28.3; 9.1
rolodepapelvazio; 15.3; 4.7
lupa;20;6.5
Esparadrapo;8.1;5.6
cola; 2.82 ; 0.25
Álcool e gel; 25.7; 7.5 
Pote de pimenta;13.3;4.3
Tampa de Óleo; 12; 4
Balde de plástico; 97.39 ;31
lata de milho; 23.5; 7.3
Bola de basquete; 150.72; 48.0
Forma; 72.0; 23.0
durex; 31.3; 9.6
caneca; 32.8; 10.0
Luminária; 32.5;10.51
Mesa;282.6;90
Vaso; 90.0; 28.5
fita; 26.5; 8.4
Lixeira;60.0;18.5
Boca de caneca; 22.2; 6.4
Delineador em gel; 12.6; 4.4 
Ring light;51;16
copo;20;6
Chaleira; 48.2; 13.0
pote de vidro; 31.3; 10.1
desodorante; 13.0; 4.0
Panela; 91.0; 19.0
lata 2 ; 34.5 ;11   
rolo de fita adesiva; 15.5; 4.9
Desodorante; 16.6 ; 5.2 
lata de lixo;60.0;19.0
tubo;40.2;12.2
Frasco de sabonete liquido; 23.5; 6.9
Copo; 21.3; 6.6
Prato; 62.80; 20
Lata de desodorante; 14.20 ; 4.50 
Garrafa térmica; 39; 11
vaso;109.1;34.6
panela; 73.83; 23.5
garrafa; 25.1; 7.6
copo; 26.5 ;9.5  
Coqueteleira; 23; 6.5
Prato; 62.8; 20
Bom ar; 17.3 ; 5.5
coqueteleira; 24.0; 8.0
balde;62;22
Iogurte;17;4.8
pote; 32.0; 10.0
Galão;30;9.6
Copo;16.3;5.2
Alcool em gel; 23.6; 7.6
Prato; 20.12; 13.5
Fita; 27.5; 8.7
Taça;37.7;12
Lata;24;7.5
abajur; 56.1; 17.9
Brinquedo cachorro Kong( interior); 19.6; 5.9
prato; 60.0; 19.5
pote de alcool gel;22.6;7.2
Fone Headset;21.038;6.7
álcool em gel; 25.3; 8.0
Fone; 23.5; 7.65
Porta palitos de dente;13.2;4.9
carretel de linha; 5.0; 1.5
garrafa; 37.68; 12
copo; 22; 7.6
Balança; 46.0; 14.0
Pote de Café; 45.9; 14.7
porta canetas;22.7;7.2
relógio;3;9.2
garrafa; 22.4; 7.0
